35.8007 32.365 29.1646 26.1991 23.4686 20.9732 18.7133 16.6891 14.9012 13.3502 12.0371 10.9633 10.1313 9.54535 9.21501 9.16257 9.35844 9.78872 10.4537 11.3536 
32.0297 28.7273 25.6601 22.8279 20.2305 17.8682 15.7413 13.8501 12.1951 10.7772 9.59748 8.65774 7.96112 7.51451 7.33434 7.43054 7.76063 8.32438 9.12285 10.1564 
28.5347 25.3657 22.4318 19.7328 17.2686 15.0394 13.0455 11.2872 9.76521 8.48028 7.43386 6.62833 6.06835 5.76513 5.74764 5.97597 6.43873 7.13604 8.06804 9.23506 
25.3159 22.2802 19.4796 16.9139 14.5829 12.4868 10.6259 9.00057 7.61141 6.45942 5.54626 4.87494 4.45326 4.30314 4.4337 4.79649 5.39283 6.2237 7.28921 8.58974 
22.3731 19.4708 16.8036 14.3712 12.1734 10.2104 8.48255 6.9901 5.73371 4.71453 3.9347 3.39878 3.11949 3.13653 3.39774 3.89306 4.62295 5.58735 6.78637 8.22041 
19.7064 16.9375 14.4037 12.1046 10.0401 8.21031 6.61549 5.25595 4.13232 3.2457 2.59848 2.19926 2.07879 2.24135 2.63673 3.26561 4.12906 5.22698 6.5595 8.12705 
17.3158 14.6803 12.2799 10.1142 8.18296 6.48641 5.0247 3.79812 2.80731 2.05359 1.53976 1.27805 1.32927 1.62382 2.15175 2.91416 3.91116 5.14259 6.60862 8.30967 
15.2012 12.6991 10.4322 8.39986 6.602 5.03871 3.71011 2.61638 1.75792 1.1358 0.757556 0.658952 0.85308 1.28128 1.94272 2.83871 3.96924 5.33418 6.93372 8.76828 
13.3626 10.9941 8.86056 6.96169 5.29725 3.86737 2.67212 1.71164 0.985888 0.4937 0.242869 0.326316 0.654142 1.2148 2.00976 3.0393 4.30333 5.80177 7.53481 9.50287 
11.8 9.56498 7.56497 5.79959 4.26864 2.97225 1.91052 1.08368 0.492172 0.138846 0.0457494 0.269942 0.730773 1.4246 2.35297 3.51596 4.91346 6.54538 8.4119 10.5135 
10.5135 8.4119 6.54538 4.91346 3.51596 2.35297 1.4246 0.730773 0.269942 0.0457494 0.138846 0.492172 1.08368 1.91052 2.97225 4.26864 5.79959 7.56498 9.56498 11.8 
9.50287 7.53481 5.80177 4.30333 3.0393 2.00976 1.2148 0.654142 0.326316 0.242869 0.4937 0.985888 1.71164 2.67212 3.86737 5.29726 6.96169 8.86056 10.9941 13.3626 
8.76827 6.93372 5.33418 3.96924 2.83871 1.94272 1.28128 0.85308 0.658952 0.757556 1.1358 1.75792 2.61638 3.71011 5.03871 6.602 8.39987 10.4322 12.6992 15.2012 
8.30967 6.60862 5.14259 3.91116 2.91416 2.15175 1.62382 1.32927 1.27805 1.53976 2.05359 2.80731 3.79812 5.0247 6.48642 8.18297 10.1142 12.2799 14.6803 17.3158 
8.12705 6.5595 5.22698 4.12906 3.26561 2.63673 2.24135 2.07879 2.19926 2.59848 3.2457 4.13232 5.25595 6.61549 8.21031 10.0401 12.1046 14.4037 16.9375 19.7064 
8.22041 6.78637 5.58735 4.62295 3.89306 3.39774 3.13653 3.11949 3.39878 3.9347 4.71453 5.73371 6.9901 8.48255 10.2104 12.1734 14.3712 16.8036 19.4708 22.3731 
8.58974 7.28921 6.2237 5.39283 4.79649 4.4337 4.30314 4.45326 4.87494 5.54626 6.45942 7.61141 9.00058 10.6259 12.4868 14.5829 16.9139 19.4796 22.2802 25.3159 
9.23506 8.06804 7.13604 6.43873 5.97597 5.74764 5.76513 6.06835 6.62833 7.43386 8.48028 9.76521 11.2872 13.0455 15.0394 17.2686 19.7328 22.4318 25.3657 28.5348 
10.1564 9.12285 8.32438 7.76063 7.43054 7.33434 7.51451 7.96112 8.65774 9.59748 10.7772 12.1951 13.8501 15.7413 17.8682 20.2305 22.8279 25.6601 28.7273 32.0297 
11.3536 10.4537 9.78872 9.35844 9.16257 9.21501 9.54535 10.1313 10.9633 12.0371 13.3502 14.9012 16.6891 18.7133 20.9732 23.4686 26.1992 29.1646 32.365 35.8008 
